Squad,Group,Rk,MP,W,D,L,GF,GA,GD,Pts,SCA,GCA,Poss,Touches
Argentina,C,1,3,2,0,1,5,2,3,6,98,11,65.0,3244
Australia,D,2,3,2,0,1,3,4,-1,6,42,6,37.8,2155
Belgium,F,3,3,1,1,1,1,2,-1,4,65,2,57.0,2172
Brazil,G,1,3,2,0,1,3,1,2,6,104,5,59.3,2157
Canada,F,4,3,0,0,3,2,7,-5,0,61,2,52.0,1889
Switzerland,G,2,3,2,0,1,4,3,1,6,48,8,47.7,1800
Cameroon,G,3,3,1,1,1,4,4,0,4,50,7,41.7,1571
Costa Rica,E,4,3,1,0,2,3,11,-8,3,19,2,31.3,1436
Germany,E,3,3,1,1,1,6,5,1,4,124,12,59.3,2312
Denmark,D,4,3,0,1,2,1,3,-2,1,57,1,60.0,2255
Ecuador,A,3,3,1,1,1,4,3,1,4,47,6,53.3,1761
England,B,1,3,2,1,0,9,2,7,7,64,16,65.3,2277
Spain,E,2,3,1,1,1,9,3,6,4,67,16,75.7,3110
France,D,1,3,2,0,1,6,3,3,6,127,18,57.8,3001
Ghana,H,4,3,1,0,2,5,7,-2,3,44,9,42.0,1616
Croatia,F,2,3,1,2,0,4,1,3,5,49,6,54.0,2097
Iran,B,3,3,1,0,2,4,7,-3,3,58,8,36.7,1428
Japan,E,1,3,2,0,1,4,3,1,6,53,6,33.7,1520
Korea Republic,H,2,3,1,1,1,4,4,0,4,73,7,48.7,1742
Morocco,F,1,3,2,1,0,4,1,3,7,43,6,37.0,1480
Mexico,C,3,3,1,1,1,2,3,-1,4,75,4,54.0,1768
Netherlands,A,1,3,2,1,0,5,1,4,7,59,12,53.3,2705
Poland,C,2,3,1,1,1,2,2,0,4,52,4,37.3,1957
Portugal,H,1,3,2,0,1,6,4,2,6,69,11,60.7,2183
Qatar,A,4,3,0,0,3,1,7,-6,0,38,2,43.0,1661
Serbia,G,4,3,0,1,2,5,8,-3,1,51,8,51.3,1816
Saudi Arabia,C,4,3,1,0,2,3,5,-2,3,44,4,44.7,1551
Senegal,A,2,3,2,0,1,5,4,1,6,71,9,46.7,1598
Tunisia,D,3,3,1,1,1,1,1,0,4,57,2,44.3,1725
United States,B,2,3,1,2,0,2,1,1,5,82,6,53.0,2658
Uruguay,H,3,3,1,1,1,2,2,0,4,63,3,48.7,1836
Wales,B,4,3,0,1,2,1,6,-5,1,45,2,46.7,1699
